TrialID,BaselineMeasures,ZeroShot,OneShot,TwoShot,ThreeShot
NCT00385580,"Age Continuous, Age, Customized, Sex: Female, Male, Ethnicity (NIH/OMB), Race/Ethnicity, Customized, Eastern Cooperative Oncology Group (ECOG)Performance Status (PS), Height continuous, Weight continuous, FACT Advanced Prostate Symptom Index (FAPSI) -8 Score from baseline, Urinary N-telopeptide (uNTx)Value from Baseline, Bone-specific Alkaline Phosphatase (BAP) Value from baseline, ","Age, race, baseline PSA level, Gleason score, stage of prostate cancer, number of previous hormone therapies, duration of current androgen deprivation therapy, presence of bone metastases, presence of visceral metastases, performance status, testosterone levels, hemoglobin levels, alkaline phosphatase levels, lactate dehydrogenase levels, renal function, liver function","Age, Sex: Male, Race/Ethnicity, Prostate Cancer Stage at Study Screening, Gleason Score at Diagnosis, Baseline Prostate-Specific Antigen (PSA) Level, Testosterone Level, Eastern Cooperative Oncology (ECOG) performance status, Presence of Metastatic Disease, Prior Androgen Deprivation Therapy Status","Age, Continuous, Sex: Male, Race/Ethnicity, Customized, Baseline Prostate Specific Antigen (PSA) Level, Gleason Score at Diagnosis, Metastatic Sites, Baseline Testosterone Level, Prior Androgen Deprivation Therapy (ADT) Duration, Eastern Cooperative Oncology Group (ECOG) Performance Status","Age, Continuous, Sex: Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Baseline PSA Level, Gleason Score at Diagnosis, Metastatic Sites, Prior Androgen Deprivation Therapy, Baseline Testosterone Level,"
NCT02317744,"Age, Categorical, Age, Continuous, Sex: Female, Male, Region of Enrollment, Binge Eating Frequency, Body Mass Index (BMI), ","Age, sex, BMI, duration of binge eating disorder, number of binge eating episodes per week, current weight, highest weight in the last 12 months, psychiatric comorbidity, baseline depression score, baseline anxiety score, history of medication use, history of substance use, history of eating disorders other than binge eating disorder, baseline blood pressure, baseline heart rate, baseline liver function tests, baseline kidney function tests, fasting glucose, fasting lipid profile.","Age, Sex: Female, Male, BMI (kg/m2), Binge Eating Disorder (BED) diagnosis duration, Number of binge eating episodes per week, Weight (kg), Height (cm), Waist circumference, Depression scale score, Anxiety scale score, Quality of Life scale score, Current medications, Previous treatments for BED","Age Continuous, Sex: Female, Male, Race (NIH/OMB), BMI (kg/m2), Number of Binge Eating Episodes per Week, Duration of Binge Eating Disorder, Current Depression Scale Score, Anxiety Scale Score, Quality of Life Scale, Eating Disorder Examination-Questionnaire (EDE-Q) Global Score, Yale-Brown Obsessive Compulsive Scale Modified for Binge Eating (Y-BOCS-BE), History of Weight Loss Attempts, Medication Use","Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Ethnicity (NIH/OMB), Body Mass Index (BMI), Number of Binge Eating Episodes per Week, Binge Eating Disorder Examination (BEDE) Score, Yale-Brown Obsessive Compulsive Scale (Y-BOCS) Score, Beck Depression Inventory (BDI) Score, State-Trait Anxiety Inventory (STAI) Score"
NCT02451917,"Age, Continuous, Sex: Female, Male, Region of Enrollment, Duration of Diabetes, Body weight, BMI, Systolic Blood Pressure, Diastolic Blood Pressure, ","Age, sex, duration of diabetes, baseline A1c levels, body mass index (BMI), blood pressure, serum creatinine, estimated glomerular filtration rate (eGFR), total cholesterol, LDL cholesterol, HDL cholesterol, triglycerides, history of cardiovascular disease, current smoking status, current medication use","Age, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Duration of Diabetes, Body Mass Index (BMI), Glomerular Filtration Rate (GFR), Hemoglobin A1c, Fasting Blood Glucose, Total Cholesterol, LDL Cholesterol, HDL Cholesterol, Triglycerides, Blood Pressure, Number of Participants Using Antihypertensive Medication, Number of Participants Using Lipid-Lowering Medication, Number of Participants Using Antiplatelet Agents","Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Duration of Diabetes, Baseline A1c Levels, Baseline Fasting Plasma Glucose, Number of Participants Using Oral Hypoglycemic Agents, Number of Participants with History of Hypoglycemic Events, Stage of Chronic Kidney Disease, Baseline Serum Creatinine, Estimated Glomerular Filtration Rate","Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, Baseline Hemoglobin A1c, Baseline Fasting Blood Glucose, Baseline Postprandial Blood Glucose, Number of Participants Using Oral Hypoglycemic Agents, Number of Participants with History of Hypoglycemic Events, Stage of Chronic Kidney Disease, Estimated Glomerular Filtration Rate"
NCT02352974,"Age, Categorical, Age, Continuous, Sex: Female, Male, Race and Ethnicity Not Collected, Region of Enrollment, Weight, BMI, Type 1 diabetes duration, GADA (Antibodies to GAD with molecular mass 65,000), Weighted C-peptide, 90-minute C-peptide, Fasting C-peptide, HbA1c, Average insulin dose/kg/24 h, IDAA1c, ","Age, gender, duration of Type 1 diabetes, fasting C-peptide levels, GADA levels, Body Mass Index (BMI), HbA1c (glycated hemoglobin), Vitamin D levels, insulin dose, presence of other autoantibodies, history of diabetes in family, previous adverse reactions to vaccines or drugs, history of immunosuppressant therapy use, history of anti-diabetic medication use other than insulin, history of Vitamin D medication use, history of significant illness, history of alcohol or drug abuse, pregnancy status for females, contraception use, history of significant infections or diseases affecting study participation.","Age, Sex: Female, Male, Body Mass Index (BMI) continuous, Baseline weight, Duration of diabetes, Baseline fasting C-peptide, GADA (Glutamic Acid Decarboxylase Antibodies) levels, Baseline Glycosylated haemoglobin (HbA1c) at baseline, Vitamin D levels at baseline","Age, Continuous, Sex: Female, Male, Duration of Type 1 Diabetes, Fasting C-peptide levels, GADA (Glutamic Acid Decarboxylase Antibodies) levels, Body Mass Index (BMI) continuous, Baseline Insulin Dose, Vitamin D levels","Age, Continuous, Sex: Female, Male, Duration of Type 1 Diabetes, Baseline C-peptide levels, GADA (Glutamic Acid Decarboxylase Antibodies) levels, Body Mass Index (BMI) continuous, Vitamin D levels at baseline"
NCT02347527,"Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, BMI, Baseline food image ratings, ","Age, sex, BMI (Body Mass Index), baseline dietary intake, physical activity level, education level, socioeconomic status, ethnicity, baseline food preferences, baseline neuronal response to food cues, medical history, medication use, smoking status, alcohol consumption.","Age, Sex: Female, Male, BMI (Body Mass Index), Dietary Habits, Baseline Food Image Ratings, Physical Activity Level, Education Level, Income Level, Race/Ethnicity, Customized, Region of Enrollment, Current Medications, Baseline Neuronal Response to Food Cues","Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Region of Enrollment, Body Mass Index (BMI), Current Diet Type, Baseline Food Preference, Baseline Food Intake, Baseline Neuronal Response to Food Cues","Age, Continuous, Sex: Female, Male, BMI (Body Mass Index), Dietary Habits, Baseline Food Image Ratings, Baseline Neuronal Response to Food Cues, Physical Activity Level"
NCT04484831,"Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race, Highest Parental Education, BMI, ","Age, sex, baseline BMI, height, weight, waist circumference, body composition, physical activity level, dietary habits, psychological assessment scores (e.g., for depression, anxiety), medical history, medication use, socioeconomic status, education level, family history of obesity or related conditions.","Age, Sex: Female, Male, Ethnicity (NIH/OMB), Body Mass Index (BMI), Weight, Height, Percentile BMI for Age and Sex, Baseline Questionnaire Scores - Quality of Life, Baseline Questionnaire Scores - Mental Health, Baseline Questionnaire Scores - Physical Activity, Baseline Dietary Intake Assessment, Family History of Obesity, Family History of Cardiovascular Diseases, Baseline Medication Use, Baseline Comorbid Conditions","Age, Sex: Female, Male, Race/Ethnicity, Height, Weight, Body Mass Index (BMI), Baseline Physical Activity Level, Baseline Dietary Habits, Baseline Psychological Assessment Scores, Family History of Obesity or Related Conditions, Baseline Medication Use, Baseline Comorbid Conditions","Age, Sex: Female, Race/Ethnicity, BMI Percentile, Weight, Height, Baseline Physical Activity Level, Baseline Dietary Intake, Psychological Well-being Scores, Baseline Medication Use, Parental BMI"
NCT01341301,"Age, Categorical, Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, ","Age, gender, diagnosis of hematologic malignancy, type of hematologic malignancy, stage of disease, prior treatments received (including number of chemotherapy regimens and any prior radiation therapy), time from diagnosis to transplant, Karnofsky Performance Status, hematopoietic cell transplantation comorbidity index (HCT-CI) score, HLA typing results, donor relationship and HLA match level, left ventricular ejection fraction (LVEF), diffusion capacity of the lung for carbon monoxide (DLCO) adjusted for hemoglobin, serum bilirubin levels, aspartate aminotransferase (AST) or alanine aminotransferase (ALT) levels, creatinine clearance, presence of untreated class I or II antibodies against donor HLA antigens, HIV status, involvement of the central nervous system with malignancy, psychiatric status, pregnancy status, life expectancy, previous treatment with alemtuzumab or anti-thymocyte globulin (ATG) levels, presence of active inflammatory processes, ability to tolerate cyclophosphamide or undergo total body irradiation.","Age, Continuous, Sex: Female, Male, Disease Type, Continuous, Disease Stage, Karnofsky Performance Status, Continuous, Number of Prior Treatments, Continuous, Type of Prior Treatment, HLA Typing, Continuous, Donor Relationship, Continuous, Comorbidity Index Score, Continuous, Left Ventricular Ejection Fraction (%), Continuous, Diffusion Capacity of the Lung for Carbon Monoxide (%), Continuous, Serum Bilirubin, Continuous, AST or ALT Level, Continuous, Creatinine Clearance (ml/min), Continuous","Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Diagnosis, Disease Stage, Prior Treatments, Karnofsky Performance Status, Hematopoietic Cell Transplantation-Comorbidity Index (HCT-CI), Number of Previous Transplants, Type of Donor, HLA Match/Mismatch, Organ Function Tests (Liver, Kidney, Heart, Lung), Infection Status, Blood Type","Age, Continuous, Sex: Female, Male, Disease Type, Disease Status, Prior Treatment Regimens, Karnofsky Performance Status, HCT-CI Score, Donor Relationship, Donor-Recipient HLA Match, Hemoglobin Level, White Blood Cell Count, Platelet Count, Serum Bilirubin, AST, ALT, Creatinine Clearance, LVEF, DLCO, Contraceptive Use,"
NCT01155050,"Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Region of Enrollment, Diagnosis of diabetes, Diagnosis of hypertension, Use diabetes medication, Use cholesterol medication, Use blood pressure medication, Use anti-depression medication, Low-density lipoprotein, High-density lipoprotein, Triglycerides, systolic blood pressure, diastolic blood pressure, Weight, Body Mass Index, Waist circumference, ","Age, BMI, waist circumference, weight, fasting blood sugar, resting blood pressure, physical activity level, use of medications for diabetes, use of medications for hypertension, presence of a working conventional telephone line, presence of a grounded electrical power supply, duration in LSU HCSD system","Age, Sex: Female, Male, Race/Ethnicity, BMI, Waist circumference, Weight, Blood pressure, Fasting blood sugar, Physical activity level, Current medications for diabetes or hypertension, History of drug or alcohol abuse, History of significant weight loss or gain, History of bariatric surgery, History of major organ transplant, History of cancer treatment, Mental health history, Pregnancy status, Support from health care provider or family members, Ability to use in-home equipment, Access to a working telephone line, Access to grounded electrical power supply","Age, Sex: Female, Male, BMI, Waist Circumference, Weight, Blood Pressure, Fasting Blood Sugar, Physical Activity Level, Medication Use for Diabetes, Medication Use for Hypertension, Presence of Chronic Diseases","Age, Continuous, Sex: Female, Male, Ethnicity, BMI, Waist Circumference, Weight, Blood Pressure, Fasting Blood Sugar, Diabetes Medication Use, Hypertension Medication Use, Physical Activity Level, Smoking Status, Alcohol Consumption"
NCT02362048,"Age, Categorical, Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, ","Age, sex, ECOG performance status, histological type of pancreatic cancer, number of prior systemic chemotherapy regimens, presence of metastases (location and number), baseline tumor size, weight, height, body mass index (BMI), liver function tests (alanine transaminase [ALT], aspartate transaminase [AST], bilirubin), renal function tests (creatinine, glomerular filtration rate [GFR]), complete blood count (CBC) with differential, prior malignancy history, cardiovascular disease history, gastrointestinal function status.","Age, Sex: Female, Male, ECOG Performance Status, Histological Type, Number of Prior Systemic Therapies, Presence of Liver Metastases, Presence of Lung Metastases, Other Metastatic Sites, CA 19-9 Levels, Albumin, Bilirubin, Creatinine, Hemoglobin, Neutrophil-to-Lymphocyte Ratio, Prior Surgical Resection, Prior Radiation Therapy","Age, Categorical, Age, Continuous, Sex: Female, Male, ECOG Performance Status, Region of Enrollment, Number of Prior Systemic Therapies, Histological Type, Presence of Metastases, Location of Metastases, CA 19-9 Levels, Albumin, Bilirubin, Creatinine, Hemoglobin, Neutrophil-to-Lymphocyte Ratio","Age, Continuous, Sex: Female, Male, ECOG Performance Status, Number of Prior Systemic Therapies, Baseline CA 19-9 Levels, Presence of Liver Metastases, Presence of Lung Metastases, Other Site Metastases, Prior Surgical Resection of Pancreatic Cancer, Prior Radiation Therapy, Hemoglobin, Albumin, Total Bilirubin, AST, ALT, Creatinine"
NCT01175473,"Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Area Under Plasma Glucose Concentration Curve From Time 0.5 Hours to 4.5 Hours (GLU-AUC0:30-4:30h), Postprandial Plasma Glucose (PPG) Excursion, Pro-insulin AUC(0:30-4:30h), Insulin AUC(0:30-4:30h), C-Peptide AUC(0:30-4:30h), Glucagon AUC(0:30-4:30h), Glycosylated Hemoglobin (HbA1c), Peptide YY3-36 (PYY3-36) Concentration, Obestatin Concentration, ","Age, sex, body mass index (BMI), duration of type 2 diabetes, baseline HbA1c, fasting plasma glucose, postprandial plasma glucose, insulin levels, pro-insulin levels, C-peptide levels, glucagon levels, blood pressure, lipid profile (total cholesterol, LDL cholesterol, HDL cholesterol, triglycerides), renal function tests (creatinine clearance), liver function tests (alanine aminotransferase, total bilirubin), history of cardiovascular disease, medication use (especially metformin dose), smoking status, alcohol consumption","Age, Sex: Female, Male, Body Mass Index (BMI), Type 2 Diabetes Mellitus duration, HbA1c, Fasting Plasma Glucose, Postprandial Plasma Glucose, Insulin levels, C-peptide levels, Glucagon levels, Blood Pressure (Systolic and Diastolic), Heart Rate, Renal Function Tests (Creatinine Clearance), Liver Function Tests (AST, ALT, Bilirubin), Lipid Profile (Total Cholesterol, LDL, HDL, Triglycerides), History of Cardiovascular Disease","Age, Continuous, Sex: Female, Male, Body Mass Index (BMI), Duration of Type 2 Diabetes, Glycosylated Hemoglobin (HbA1c), Fasting Plasma Glucose, Postprandial Plasma Glucose, Baseline medication use (Metformin), Blood Pressure, Lipid Profile (Total Cholesterol, LDL, HDL, Triglycerides), Renal Function Tests (Creatinine, eGFR), Liver Function Tests (AST, ALT, Bilirubin), Cardiovascular History, Smoking Status","Age, Continuous, Sex: Female, Male, Body Mass Index (BMI), Duration of Type 2 Diabetes, Glycosylated Hemoglobin (HbA1c), Fasting Plasma Glucose, Blood Pressure, Lipid Profile (Total Cholesterol, LDL Cholesterol, HDL Cholesterol, Triglycerides), Renal Function Tests (Creatinine, eGFR), Liver Function Tests (AST, ALT, Bilirubin), History of Cardiovascular Disease, Medication Use (Metformin and other antidiabetic drugs), Smoking Status"
