Generation_Model,Evaluation_Model,Precision_mean,Recall_mean,F1_mean,Precision_std,Recall_std,F1_std
gpt4-omni-ts,bert-scores-06,0.3807903560379992,0.49481335018738937,0.40994410148925803,0.1535284203525276,0.18989876537158884,0.1374047442620389
gpt4-omni-ts,bert-scores-07,0.3353687147146104,0.43604323584329185,0.3615834338805693,0.1504462347364015,0.19548035660704088,0.14478024672449605
gpt4-omni-ts,bert-scores-08,0.2833308703928171,0.3775223730932602,0.30910462290972673,0.1338872486018343,0.18876956548613727,0.1370089844834218
gpt4-omni-ts,bert-scores-09,0.2355817514495325,0.31584494868731416,0.2571034580014953,0.1200422319225763,0.1778781915911248,0.1247276423318768
gpt4-omni-ts,gpt4-omni-score,0.4032627863111087,0.5398033785771855,0.44031179941789,0.15185000748579444,0.21859894884686049,0.14656045636577164
gpt4-omni-zs,bert-scores-06,0.3410734361322646,0.4272227525177376,0.3597954834903818,0.14204099421434896,0.17490689037455712,0.1272734340473877
gpt4-omni-zs,bert-scores-07,0.28460126469680125,0.3605509267811099,0.3013311433521197,0.13108102148386327,0.17942350933817744,0.1254309679400031
gpt4-omni-zs,bert-scores-08,0.22588076774623203,0.2934641762438282,0.2418208302400281,0.11426214173603029,0.17393906778229307,0.1193194800538549
gpt4-omni-zs,bert-scores-09,0.14447779707294817,0.18966395749404583,0.15554036269091637,0.08672808997967768,0.13112166919157223,0.09340224900773188
gpt4-omni-zs,gpt4-omni-score,0.37780909289610337,0.48982890272278545,0.40505943129428773,0.1484273605345985,0.2201618062254606,0.14860362980120448
gpt4-turbo-ts,bert-scores-06,0.3936071581217126,0.4416216337291188,0.3955887939407877,0.15018140158486457,0.1695346302787418,0.13166242101103054
gpt4-turbo-ts,bert-scores-07,0.3327633715482854,0.3777113133778155,0.3357156117135362,0.1330563339258864,0.1712516606009666,0.1245157834878135
gpt4-turbo-ts,bert-scores-08,0.27765699902055735,0.32342969172817976,0.2835573345481039,0.12157714073223588,0.17088682188400836,0.12387674025289358
gpt4-turbo-ts,bert-scores-09,0.21723024248638392,0.2592213864342147,0.22464974128580864,0.10989699088372128,0.16311311604431114,0.11860091103275394
gpt4-turbo-ts,gpt4-omni-score,0.4460105666887367,0.5251283344372514,0.45891689997926627,0.15727661504033155,0.21915719067813558,0.15633338127437352
gpt4-turbo-zs,bert-scores-06,0.42616699847541817,0.39719024326863683,0.38327142349068244,0.18548219104400368,0.18133797185720293,0.14572333283974104
gpt4-turbo-zs,bert-scores-07,0.35322345811260875,0.32935507915707013,0.317826059687724,0.17164832151758228,0.1629375211098501,0.13704913956431375
gpt4-turbo-zs,bert-scores-08,0.28723569009063354,0.2712755694220077,0.25926452671740025,0.15000178787670448,0.15282220218220985,0.1253611954725546
gpt4-turbo-zs,bert-scores-09,0.17559677232176896,0.16271800546276097,0.15788282907985512,0.10767085674048532,0.10035727352745864,0.08824240819790499
gpt4-turbo-zs,gpt4-omni-score,0.4585417233377591,0.43719141755494106,0.41704803621394343,0.20180913341038753,0.204686030396232,0.16330351921892794
llama3-70b-in-ts,bert-scores-06,0.4019454819776027,0.4744040868128289,0.41281329421154467,0.15039844444980757,0.19069724137936844,0.12964412554805085
llama3-70b-in-ts,bert-scores-07,0.35315171859444305,0.41581492365400635,0.3618324373723136,0.13759681988694905,0.1761197679688494,0.11817843698477107
llama3-70b-in-ts,bert-scores-08,0.30428488324540953,0.36441837005335187,0.31477243708254965,0.13143949589554252,0.17406653639193967,0.12251127536308856
llama3-70b-in-ts,bert-scores-09,0.24053545461246695,0.29496674824089547,0.2512418955037099,0.11060463962737398,0.1710505801035384,0.11349308831498796
llama3-70b-in-ts,gpt4-omni-score,0.4436085383055197,0.5314061971310101,0.45982197487360943,0.14686086146489954,0.2093552242665317,0.13952445053090284
llama3-70b-in-zs,bert-scores-06,0.4230081289842058,0.47639130354963866,0.42560877411567694,0.16072878675098745,0.19473058775292304,0.14087739562646626
llama3-70b-in-zs,bert-scores-07,0.3660875645211491,0.40795302876927864,0.3667436761094288,0.15266388720778673,0.17585223666217117,0.13457899622073113
llama3-70b-in-zs,bert-scores-08,0.3117501728794231,0.3486930163373729,0.31301698832321123,0.14035683624565634,0.16627168952026364,0.12800770216963137
llama3-70b-in-zs,bert-scores-09,0.23184510477706735,0.2631949911237436,0.23404281500952454,0.12402030597479277,0.15174912659534998,0.11729978327898608
llama3-70b-in-zs,gpt4-omni-score,0.4793005026430622,0.5443185941812636,0.4831111014960436,0.16914012858807354,0.2235118879566014,0.1509949777143018
